act_name,city,state
Larry H. Miller Ford Lakewood,Lakewood,CO
Audi West Palm Beach,West Palm Beach,FL
Mercedes-Benz of Honolulu,Honolulu,HI
Hendrick Chrysler Dodge Jeep Ram of Concord,Concord,NC
Larry H. Miller Super Ford Salt Lake City,Salt Lake City,UT
Rick Hendrick Chevrolet Buick GMC,Richmond,VA
Larry H. Miller Liberty Toyota Scion,Colorado Springs,CO
Phil Long Ford LLC,Colorado Springs,CO
Arlington Lexus in Palatine,Palatine,IL
Mercedes-Benz of Temecula,Temecula,CA
Northridge Toyota / Scion,Northridge,CA
Fitzgerald Auto Mall - Clearwater,Clearwater,FL
Herb Chambers Honda of Seekonk,Seekonk,MA
Honda of Turnersville,Turnersville,NJ
Hendrick Chevrolet,Hoover,AL
Hendrick Motors of Charlotte,Charlotte,NC
Hendrick Toyota Scion Merriam,Merriam,KS
Gateway Toyota Scion,Toms River,NJ
Audi of Downtown LA,Los Angeles,CA
Performance Toyota,Fairfield,OH
Audi North Scottsdale,Phoenix,AZ
BMW / MINI of Warwick,Warwick,RI
Hendrick Lexus Northlake,Charlotte,NC
"Gordon Chevrolet, Inc.",Garden City,MI
Chapman Scottsdale Autoplex LLC,Scottsdale,AZ
Ray Catena Lexus of Larchmont,Larchmont,NY
Bommarito Ford,Hazelwood,MO
Gillman Honda of San Antonio,Schertz,TX
Larry H. Miller Toyota Scion Corona,Corona,CA
Honda of Spring,Houston,TX
Lexus of Edison,Edison,NJ
Land Rover San Diego,San Diego,CA
Voss Chevrolet,Centerville,OH
Fitzgerald Auto Mall - White Flint,Rockville,MD
Hendrick Chevrolet Buick GMC Cadillac Southpoint,Durham,NC
Landers Chrysler Jeep Dodge,Benton,AR
Porsche of West Broward,Davie,FL
Allen Toyota Scion Hyundai,Gulfport,MS
Jim Koons - Koons of Catonsville,Baltimore,MD
Mercedes-Benz of Chantilly,Chantilly,VA
Audi Pembroke Pines,Pembroke Pines,FL
"Earnhardt Avondale, Inc.",Avondale,AZ
Jimmie Johnson Chevrolet,San Diego,CA
Holman Ford/Lincoln,Maple Shade,NJ
Hendrick Lexus Charleston,Charleston,SC
Huffines Chevrolet Lewisville,Lewisville,TX
Jim Koons - Westminster Toyota,Westminster,MD
Jim Koons Arlington Toyota,Arlington,VA
Gold Coast Cadillac,Oakhurst,NJ
Kearny Mesa Toyota Scion,San Diego,CA
Toyota/Scion of Fayetteville,Fayetteville,AR
Herb Chambers Honda Infiniti of Boston,Boston,MA
Herb Chambers Honda Infiniti,Boston,MA
Serra Chevrolet - Southfield,Southfield,MI
Larry H. Miller Chevrolet Murray,Murray,UT
Ourisman Honda Bethesda,Bethesda,MD
Ourisman Toyota Fairfax,Fairfax,VA
Kuni Honda,Centennial,CO
Rick Hendrick Chevrolet,Charleston,SC
Criswell Chrysler Jeep Dodge,Gaithersburg,MD
Jaguar Land Rover-Anaheim Hills,Anaheim,CA
Jim Koons - Lexus of Wilmington,Wilmington,DE
Audi South Coast,Santa Ana,CA
Mercedes-Benz smart of Fairfield,Fairfield,CT
Don Davis Ford Lincoln,Arlington,TX
Bianchi Honda,Erie,PA
Ray Huffines Chevrolet,Plano,TX
Herb Chambers Land Rover Sudbury,Sudbury,MA
Hendrick Chevrolet Shawnee Mission,Merriam,KS
Sweeney Buick GMC,Youngstown,OH
Delta Imports,Grand Rapids,MI
Courtesy Chevrolet Center,San Diego,CA
Sweeney Chevrolet,Youngstown,OH
Huffines Chrysler Jeep Dodge Ram Plano,Plano,TX
Performance CJDR,Columbus,OH
Toyota of Clovis,Clovis,CA
Mercedes-Benz smart of Bedford,Bedford,OH
Larry H. Miller Chrysler Jeep Dodge Ram,Albuquerque,NM
Hendrick Honda Woodbridge,Woodbridge,VA
San Antonio Dodge Chrysler Jeep Ram,San Antonio,TX
Toyota Bountiful,Bountiful,UT
Chapman Chrysler Jeep LLC,Henderson,NV
Criswell Honda,Germantown,MD
Hendrick BMW Northlake,Charlotte,NC
Ray Catena MB Freehold,Freehold,NJ
Toyota Scion of Turnersville,Turnersville,NJ
Larry H. Miller Toyota Scion Boulder,Boulder,CO
Larry H. Miller Toyota Scion Albuquerque,Albuquerque,NM
Warren Henry Infiniti,Miami,FL
Larry H. Miller Chrysler Jeep Avondale,Avondale,AZ
Chapman Chevrolet Chandler LLC,Chandler,AZ
Performance Honda,Fairfield,OH
Fernandez Honda,San Antonio,TX
Hendrick Honda Hickory,Hickory,NC
Hendrick Honda Bradenton,Bradenton,FL
"Rodeo Ford, Inc.",Goodyear,AZ
Audi Chantilly,Chantilly,VA
Mike Shaw Subaru,Thornton,CO
Bommarito Cadillac-VW-Mazda,St. Peters,MO
Fox Grand Traverse,Traverse City,MI
Bommarito Chevrolet-Mazda,St. Louis County,MO
Phil Long Ford of Chapel Hills LLC,Colorado Springs,CO
Earnhardt Scottsdale Lexus,Phoenix,AZ
Lexus of Seattle,Lynnwood,WA
Mercedes-Benz of Henderson,Henderson,NV
Princeton BMW,Hamilton Township,NJ
Cardinale - Coast BMW Nissan,San Luis Obispo,CA
Honda of Rochester,Rochester,NY
Nissan of Union City,Union City,GA
Toyota/Scion of Bedford,Bedford,OH
Hendrick Honda Pompano Beach,Pompano Beach,FL
Lexus Bridgewater,Bound Brook,NJ
Rick Hendrick Chevrolet,Norfolk,VA
Honda North,Clovis,CA
Porsche San Diego,San Diego,CA
Pompano Ford Lincoln,Pompano Beach,FL
Dale Earnhardt Jr. Buick GMC Cadillac,Tallahassee,FL
Victory Honda of San Bruno,San Bruno,CA
Penske Chevrolet,Indianopolis,IN
Porsche of Beachwood,Beachwood,OH
Bommarito Nissan,Hazelwood,MO
Wilde Honda of Sarasota,Sarasota,FL
Bob Moore Ford,Oklahoma City,OK
Land Rover Denver,Littleton,CO
Fred Anderson Toyota of Columbia,West Columbia,SC
Herb Chambers Chrysler Jeep Dodge Fiat,Danvers,MA
CardinaleWay Acura - Mazda Las Vegas,Las Vegas,NV
Fort Wayne Toyota-Lexus-Kia,Fort Wayne,IN
Rick Hendrick Chevrolet Naples,Naples,FL
Wilde East Towne Honda,Madison,WI
Bommarito Honda,Hazelwood,MO
BMW of Greenwich,Greenwich,CT
"Ourisman Chevrolet Co, Inc.",Marlow Heights,MD
Ray Catena Infiniti,Edison,NJ
Frisco Chrysler Dodge Jeep Ram,Frisco,TX
Carson Nissan,Carson,CA
Zeigler Chrysler Dodge Jeep - Downers Grove,Downers Grove,IL
Audi of Fairfield,Fairfield,CT
Terry Labonte Chevrolet,Greensboro,NC
Earnhardt Cadillac,Scottsdale,AZ
Performance Lexus,Cincinnati,OH
Gillman Acura North,Houston,TX
Audi Boulder,Boulder,CO
Sunland Park Chrysler Dodge Jeep Ram,El Paso,TX
Mercedes-Benz of Chandler,Chandler,AZ
Holman Ford/Lincoln,Turnersville,NJ
Honda of Mentor,Mentor,OH
Herb Chambers Audi Brookline,Brookline,MA
Zeigler Chrysler Dodge Jeep - Grandville,Grandville,MI
Dale Earnhardt Jr. Chevrolet,Tallahassee,FL
Honda Cars of Rock Hill,Rock Hill,SC
Larry H. Miller Toyota Scion Colorado Springs,Colorado Springs,CO
Spring Branch Honda,Houston,TX
Herb Chambers Ford of Braintree,Braintree,MA
Hendrick Honda of Charleston,Charleston,SC
Jaguar Land Rover Monmouth,Ocean Township,NJ
Royal Palm Toyota Scion,Royal Palm Beach,FL
"Laird Noller Ford, Inc.",Topeka,KS
Kuni Chevrolet Cadillac,Sacramento,CA
Freedom Honda,Colorado Springs,CO
Performance Ford Bountiful,Bountiful,UT
Larry H. Miller Honda Boise,Boise,ID
Oakbrook Toyota-Scion in Westmont,Westmont,IL
Larry H. Miller Chrysler Jeep Dodge Ram Surprise,Surprise,AZ
Bob Baker Volkswagen/Subaru,Carlsbad,CA
Stockton #12 Honda,Sandy,UT
Felix Chevrolet,Los Angeles,CA
Hendrick Chrysler Dodge Jeep Ram,Hoover,AL
Herb Chambers Honda of Burlington,Burlington,MA
Ed Morse Honda,Riviera Beach,FL
Honda of El Cerrito,El Cerrito,CA
Ocean Honda Of Port Richey,Port Richey,FL
Ed Morse Cadillac - Tampa,Tampa,FL
Gillman Subaru Southwest,Houston,TX
Rick Hendrick Dodge Chrysler Jeep Ram,Charleston,SC
BMW of Mamaroneck,Mamaroneck,NY
Huffines Hyundai Plano,Plano,TX
Harold Zeigler Ford - Plainwell,Plainwell,MI
Community Toyota Scion,Baytown,TX
Mullinax Ford of Olympia,Olympia,WA
Larry H. Miller Honda Murray,Murray,UT
Ray Catena Audi Freehold,Freehold,NJ
Al Serra Chevrolet - South,Colorado Springs,CO
Zeigler BMW of Orland Park,Orland Park,IL
Niello Acura Roseville,Roseville,CA
Ocean Honda,Soquel,CA
Gordie Boucher Ford Lincoln Mazda of Janesville,Janesville,WI
Honda of Danbury,Danbury,CT
Rick Hendrick Jeep Chrysler Dodge Ram,Charleston,SC
Honda of Escondido,Escondido,CA
"Fitzgerald Auto Mall - Chambersburg, PA",Chambersburg,PA
Herb Chambers Honda of Westborough,Westborough,MA
Braman Hyundai,Miami,FL
Mercedes-Benz of Warwick,Warwick,RI
Mercedes-Benz of Northlake,Charlotte,NC
"Boucher Chevrolet, Inc.",Waukesha,WI
Huffines Kia Subaru,Corinth,TX
Mullinax Ford of New Smyrna Beach,New Smyrna Beach,FL
Niello Audi,Sacramento,CA
Zeigler Chrysler Dodge Jeep Plainwell,Plainwell,MI
Fred Anderson Nissan of Raleigh,Raleigh,NC
Larry H. Miller Chrysler Jeep Dodge Ram,Riverdale,UT
Braman Cadillac,Miami,FL
"Desert Hyundai, Inc.",Scottsdale,AZ
Zeigler Nissan Infiniti of Orland Park,Orland Park,IL
Larry H. Miller Subaru Boise,Boise,ID
Chapman Bell Road Imports LLC,Phoenix,AZ
Chevrolet/Cadillac of Turnersville,Turnersville,NJ
Audi Willow Grove,Willow Grove,PA
Chapman Mercedes Benz of Tucson,Tucson,AZ
Fox Ford Lincoln of Chicago,Chicago,IL
Porsche of Tysons Corner,Vienna,VA
"Nissan of South Atlanta, LLC",Morrow,GA
Niello BMW,Sacramento,CA
Larry H. Miller Nissan Highlands Ranch,Highlands Ranch,CO
Bob Moore Cadillac,Oklahoma City,OK
Bob Moore Audi,Okalahoma City,OK
Wilde Jaguar Maserati of Sarasota,Sarasota,FL
Bommarito Nissan West County,Ballwin,MO
Herb Chambers Chevrolet,Danvers,MA
Frontier Leasing & Sales,Coeur d‰Û¡ÌÝå»Alene,ID
Larry H. Miller Nissan Mesa,Mesa,AZ
Garber Buick,Saginaw,MI
Audi South Austin,Austin,TX
Airport Marina Ford,Los Angeles,CA
Rolls Royce Motorcars Ft. Lauderdale,Ft. Lauderdale,FL
"Earnhardt Buick GMC, Inc.",Mesa,AZ
Acura of Pleasanton,Pleasanton,CA
Sunrise Chevrolet,Glendale Heights,IL
Honda of Cleveland,Cleveland,TN
Hendrick Honda Easley,Easley,SC
Fox Honda,Grand Rapids,MI
